Note,First Peak,MCD,Bayesian MAP
112,934.3311900495414,1745.6623800991947,935.1580865155586
113,935.4988399071925,1790.4976798144583,935.9534091343435
114,147.82643029178348,294.35286058356667,147.15116195082226
115,69.60000000000001,99.50000000000227,69.29454698077483
116,349.80237154150194,667.8047430829967,350.06208156285965
117,110.68408916218294,211.76817832436643,110.23894567658527
118,74.1420089781339,148.1840179562678,68.57719489440467
119,69.61429915333962,138.72859830667926,69.36683837170304
120,833.4724043390155,1586.744808678104,832.9834013124761
121,117.41682974559687,219.8336594911946,116.74546241002501
122,87.74553793997407,164.49107587994877,87.37762107642435
123,247.77835859905912,495.25671719811817,247.61328117373077
124,494.62365591397855,857.8473118279272,494.84317221221926
125,139.80816552001207,238.31633104001475,139.0046701178706
126,138.8583302774722,247.31666055493747,140.86347758524133
127,98.39943231096743,186.29886462193545,98.34260662166643
128,185.57707960279993,336.75415920559203,185.27772080351494
129,496.20293427696714,990.9058685539339,495.4020476941211
130,65.66927048854761,131.23854097709523,66.00000001507523
131,524.3505900405538,859.4011800812798,525.0643682023097
132,278.64547339322735,476.4909467864363,277.98213136248063
133,934.7262849979106,1529.5525699961304,934.5784851884955
134,123.03516906027366,228.27033812054833,123.68931555718399
135,1400.8531486252482,2292.3062972509597,1400.945622922636
136,208.21180166030965,360.9236033206067,208.2118028101966
137,829.5698246499306,1596.2396492999185,828.7679329766119
138,139.7993620267209,265.79872405343866,138.88713392418936
139,278.9131367823302,556.5262735646601,278.27924366036683
140,87.31241473396999,148.62482946794145,87.80675827359775
141,103.07064633884474,206.04129267768948,104.0279279587309
142,220.06877149109098,417.3375429821768,220.2908703643362
143,416.3592118690635,755.6184237381094,416.35921168696683
144,662.2326083048715,1121.065216609928,662.5147216670275
145,98.57012473379983,196.3402494675997,99.81626709734577
146,233.09117749893164,416.0823549978519,233.9504319510884
147,741.8574095843994,1285.9148191689787,741.8574095713897
148,196.37012793811365,335.74025587621435,179.75013868461244
149,164.84128457397438,305.48256914794325,164.9401700838117
150,393.12178691721334,698.1435738344067,392.72969943309374
